DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
09/2008;118,9279969;122,7986693;102,2406159;;;11,979;8,312;8,646666667;3,53625;3,264;2,418;2,017;2,335;1,204;2,228;3,666666667;2,3425;2,61125;6,465;3,27;3,724;18,38;2,537;6,498333333;2,91;2,495;2,52625;7,935;4,2;3,63826087;3,437619048;3,660474308;3,436;21,852;8,05;7,26;5,7625;2,022;11,325;5,1;2,837;0,855;1,2565;0,53675;4,485;4,563173348;6,71;7,95;3,38;2,62;3,3;9,52125;4,8675;2,79125;2,2375;2,776666667;1,40875;5,29625;4,615;11,24125;13,05833333;12,11;8,320666667;4,186;11,04;4,02375;4,795;2,14;2,419;1,685;4,76;4,61375;5,74;5,49875;7,14;5,5425;
10/2008;120,1810841;125,1325566;101,8039566;;;11,195;8,846666667;10,11333333;2,748;3,206666667;2,81;1,951666667;2,322;1,181666667;2,309;3,65;2,185;2,7;6,64;3,206666667;3,706666667;18,36;2,49;6,335;3,94;2,56;2,39;8,364;5,7;3,639275362;3,356666667;3,703833992;3,551666667;22,18;7,79;6,863333333;5,9225;2,0675;11,57;5,185;2,735;0,902;1,385;0,335;4,24;4,644460757;7,542;7,483333333;4,06;2,74;3,57;9,444;4,7;2,784;2,342;2,705;1,404;5,012;4,6;11,0825;13,49333333;11,768;8,771333333;4,55;11,99333333;4,165;4,82;2,092;2,403333333;1,655;4,69;4,286;5,53;5,101875;6,915;5,268;
11/2008;120,4990955;124,726632;104,6074591;;;12,12625;8,52;11,58;3,27;3,077777778;4,564444444;1,951111111;2,2;1,065555556;2,39;3,6;2,0725;2,4825;6,388888889;3,388888889;3,797777778;20,04;2,246666667;6,066875;6,152;2,505;2,794285714;8,325;3,84;3,640289855;3,275714286;3,747193676;3,324444444;23,12888889;7,554285714;8,103333333;5,89;2,023888889;10,13625;4,673333333;2,4;0,898571429;1,25375;0,349444444;4,7;4,725748165;6,666;7,016666667;3,84;2,816;2,356;9,74625;5,284444444;2,886666667;2,44875;2,671428571;1,43375;5,291428571;4,553333333;12,0275;12,80857143;10,995;9,222;3,683333333;13,36;4,11;4,002;2,1175;2,481111111;1,79;4,6;4,911666667;6,64;4,705;7,182857143;5,876666667;
12/2008;119,044139;123,0460752;105,0661678;;;12,58333333;7,528888889;9,98;3,52;3,814285714;5,033333333;1,896666667;2,12375;1,088888889;2,32;3,661111111;2,46;2,584444444;6,5425;3,275555556;3,82;20,1;2,231111111;6,056666667;6,86;3,013333333;2,415;7,86;5,6;3,641304348;3,194761905;3,79055336;3,2075;22,58666667;8,532222222;7,423333333;5,885625;1,916785714;10,22;4,653333333;2,127777778;0,884285714;1,238333333;0,439722222;4,497777778;4,807035573;5,727434343;6,55;3,28;2,685;3,36;9,716666667;5,142857143;2,721428571;2,237777778;2,746666667;1,347777778;5,256666667;4,525;13,26;12,45666667;10,93777778;9,497142857;3,65;13,688;3,613333333;4,025;2,22;2,381111111;1,8;4,446666667;4,525;5,646666667;5,32;6,9;5,32125;
01/2009;119,8258777;125,5781114;106,9567511;;;11,95467532;9,008;9,98;4,790454545;4,230454545;4,480909091;1,909220779;2,08012987;1,083116883;2,25;3,634090909;1,75;2,539545455;6,656590909;3,444935065;3,802857143;19,85454545;2,193506494;6,002784091;6,167272727;3,059318182;2,093939394;7,888636364;6,24;3,642318841;3,113809524;3,833913043;3,194090909;23,26818182;8,117613636;6,144545455;6,030272727;2,077954545;9,709090909;4,61625;2,085;0,896103896;1,113267045;0,480227273;4,581818182;4,888322981;4,788868687;12,89350649;3,58;2,764848485;1,533636364;9,997402597;5,396363636;2,935;2,110909091;2,849090909;1,343181818;5,65;4,552;12,31480519;13,33181818;10,29454545;9,985454545;3,558181818;12,32590909;3,545636364;4,407272727;2,169090909;2,44038961;1,833636364;4,339480519;3,395;5,549090909;6,101136364;5,875909091;5,031818182;
02/2009;120,6983168;124,3731955;108,9523896;;;11,57568182;8,668;8,504242424;4,587272727;4,460454545;3,745454545;1,943636364;2,120454545;1,1;2,18;3,577272727;1,9;2,506363636;6,563636364;3,425454545;3,821136364;20,18181818;2,327045455;5,720284091;5,896363636;2,781022727;2,163636364;9,207272727;6,44;3,643333333;3,032857143;3,877272727;3,22;22,28545455;8,394090909;8,643636364;6,231818182;1,970272727;9,987272727;4,5;2,279090909;0,915;1,183181818;0,445681818;4,547272727;4,96961039;3,85030303;13,05852273;2,38;2,542727273;1,643636364;10,07454545;5,425454545;2,997012987;2,222337662;2,991363636;1,370795455;5,745;4,48625;12,35393939;13,905;11,04571429;9,9375;3,696363636;12,59590909;3,404909091;4,407272727;2,136363636;2,590909091;1,862727273;4,182613636;4,482121212;5,733636364;5,866363636;6,99;5,588181818;
03/2009;120,3256053;122,2956078;109,1170795;;;12,22454545;6,949090909;7,028484848;5,325974026;3,592727273;3,06;1,931818182;2,200909091;1,05;2,11;3,603409091;1,8;2,626136364;6,552727273;3,432727273;3,750909091;20,23090909;2,251818182;5,863636364;6,123636364;2,832857143;2,264318182;10,0012987;6,28;3,79;2,951904762;3,992954545;3,337272727;21,01454545;8,023636364;7,062727273;5,378090909;2,125357143;9,347045455;4,495454545;2,579090909;0,911818182;1,222556818;0,395681818;4,443863636;4,922857143;3,71025974;12,38636364;4,093333333;2,704;1,613636364;10,09051948;5,652727273;3,12;2,421136364;3,031818182;1,370795455;5,643454545;4,586818182;12,28840909;13,45909091;10,96;9,31;3,458181818;17,06727273;3,311168831;4,279090909;2,118181818;2,349090909;1,91;4,248181818;4,53961039;5,614848485;5,686363636;6,593181818;5,627727273;
04/2009;122,1376475;126,0927292;111,9738556;;;12,46545455;6,314181818;5,552727273;5,904545455;3,597662338;3,165454545;1,937272727;2,158636364;1,102727273;2,236590909;3,613636364;2,083333333;2,55875;6,641818182;3,465681818;3,825454545;24,55363636;2,154886364;5,703636364;6,006181818;2,921818182;2,289090909;9,692727273;7,78;3,656666667;2,870952381;3,852727273;3,312727273;21,69818182;8,013636364;6,81;5,6575;2,102662338;9,215454545;4,545858586;2,703636364;0,910909091;1,110681818;0,338409091;4,662727273;5,253636364;4,603636364;12,72670455;4,3;2,764848485;1,532;10,20681818;6,04;3,01;2,487613636;3,035227273;1,365454545;5,58;4,701363636;12,42545455;14,42727273;10,35418182;9,528636364;3,431590909;14,03454545;3,397272727;3,937272727;2,176363636;2,577272727;1,912840909;4,443116883;4,47;5,360909091;5,339090909;7,592337662;5,516590909;
05/2009;125,6782356;131,1797636;111,6962937;;;11,18181818;5,494772727;6,070909091;7,716233766;4,08961039;3,176363636;1,8475;2,101090909;1,055;2,09625;3,65;1,957272727;2,607727273;6,781038961;3,447272727;3,802727273;30,19636364;2,328181818;6,655;5,969090909;2,927272727;2,211590909;9,594545455;7,98;3,523333333;2,79;4,123636364;3,317272727;21,66545455;8,745454545;8,717954545;5,300844156;2,15625;9,087272727;4,58;2,338181818;0,923636364;1,7575;0,3734375;4,466363636;4,988311688;4,254545455;14,32272727;2,98;2,513766234;1,514727273;10,08935065;5,819636364;3,106363636;2,504155844;2,993636364;1,399431818;5,832045455;4,501363636;12,32181818;14,55454545;10,47030303;9,830909091;3,425454545;14,65636364;3,425714286;4,141818182;2,169090909;2,364545455;1,881818182;4,411704545;4,462727273;6,821818182;5,757386364;6,591818182;5,405454545;
06/2009;126,3114385;131,8242817;112,4121567;;;11,04090909;5,110909091;3,125454545;5,468181818;3,944090909;3,672727273;1,886363636;2,099545455;1,108571429;2,045;3,595454545;2,370909091;2,628989899;6,486363636;3,496363636;3,909090909;35,03454545;2,33;6,986363636;5,118181818;3,194090909;2,654545455;9,338181818;7,35;3,39;3,117272727;4,134545455;3,138295455;22,06136364;8,636363636;7,653454545;5,906818182;1,870746753;10,08818182;4,890909091;2,293636364;0,974090909;2,012045455;0,366363636;4,468409091;4,85974026;4,118181818;14,79090909;3,46;2,661298701;1,565454545;10,28571429;5,781298701;2,882727273;2,440909091;3,017272727;1,354431818;5,835454545;4,554675325;12,27896104;15,09545455;10,47324675;10,09181818;3,496363636;17,7;3,481818182;4,313636364;2,189545455;2,513636364;1,902626263;4,307272727;4,54;5,808409091;5,536363636;7,513090909;5,384659091;
07/2009;121,862288;129,9161645;111,3613008;;;11,37298701;5,3;4,227272727;5,223896104;3,651818182;3,480909091;1,953181818;2,112727273;1,059090909;2,098909091;3,718831169;1,998636364;2,604545455;6,694805195;3,537272727;3,856727273;31,69090909;2,149090909;7,531363636;6,238787879;3,234545455;2,366623377;8,968363636;6,92;3,256666667;2,617272727;4,063030303;3,191688312;21,23090909;8,712;7,611818182;5,351272727;2,205568182;9,649090909;4,872727273;2,224545455;1,040909091;2,274772727;0,371931818;4,457922078;4,656363636;4,290909091;14,89090909;2,98;2,718181818;2,083636364;9,904363636;5,556727273;3,064545455;2,132424242;3,14038961;1,384675325;5,808181818;4,380454545;12,12545455;15,43581818;10,17454545;9,954363636;3,347272727;8,68;3,569220779;4,313636364;2,09;2,55969697;1,837532468;4,230909091;4,42;5,857272727;5,516363636;7,540909091;5,246883117;
08/2009;123,5951389;130,9356604;112,4153568;;;11,25;5,136363636;5,980909091;5,710909091;3,438863636;5,18;1,838181818;2,030181818;1,078311688;2,025;3,7875;2,076363636;2,632857143;6,748181818;3,538181818;3,854545455;24,92318182;2,259090909;7,216988636;6,22;3,072272727;2,479090909;10,23272727;8,78;3,123333333;2,617272727;4,105681818;2,875;20,96909091;8,696103896;7,947272727;5,818441558;1,916363636;7,992272727;4,475454545;2,21;1,066136364;2,264545455;0,392727273;4,317045455;4,653636364;4,253454545;14,20909091;9,1;2,657272727;1,370909091;9,907402597;5,819636364;3,12025974;2,356136364;3,261363636;1,302727273;5,835454545;4,435909091;12,68890909;14,80090909;9,882727273;10,5975;3,387792208;13,8;3,461168831;4,313636364;2,198181818;2,259090909;1,795;3,819090909;4,22;5,767045455;5,481818182;6,200454545;5,134090909;
09/2009;120,2924697;128,5679374;109,7632016;;;10,91545455;4,83;4,069090909;6,083181818;3,481558442;3,165974026;1,925;1,967954545;1,002987013;1,869090909;3,508441558;2,106363636;2,618831169;6,725454545;3,453636364;3,925454545;23,11418182;2,539090909;6,923376623;6,393454545;3,225;2,246623377;11,19545455;8,173333333;2,99;2,617272727;4,012467532;2,931818182;22,00818182;8,721558442;7,68025974;5,694818182;1,797142857;8,266363636;5,367402597;2,12987013;1,091363636;2,240032468;0,558019481;4,290181818;5,133636364;4,133766234;13,78441558;9,21;2,462272727;1,391818182;10,212;5,734545455;3,045636364;2,203636364;3,286818182;1,34;5,575;4,540454545;11,28545455;14,80636364;9,716363636;10,80363636;3,722077922;8,78;3,467272727;4,218181818;2,101818182;2,400909091;1,893766234;4,113333333;4,3625;5,682727273;5,521038961;6,057272727;5,003766234;
10/2009;119,6684121;123,8931731;110,1046559;;;11,228;4,505818182;5,252727273;5,8;3,181818182;6,64;2,068961039;1,932597403;1,004155844;1,971818182;3,426623377;1,776363636;2,545151515;6,611428571;3,418545455;3,892727273;21,00218182;2,540909091;6,399480519;5,786363636;2,899090909;2,309090909;11,4825;7,566666667;2,99;2,026363636;3,735454545;2,970454545;22,20954545;7,854285714;7,418181818;5,078181818;1,781948052;9,443863636;4,490568182;1,992727273;1,052337662;2,005113636;0,763295455;4,156363636;4,815454545;3,909818182;13,91477273;3,02;2,445909091;1,473636364;9,606818182;5,673636364;3,145454545;2,562727273;3,491022727;1,345714286;5,662954545;4,402727273;11,49;14,84181818;10,49818182;9,865757576;3,343636364;12,78;4,049480519;4,56;2,171168831;2,32030303;1,763863636;3,74974026;4,827090909;5,778977273;5,330909091;7,010454545;5,345064935;
11/2009;116,1970513;123,5751486;110,9347276;;;11,28142857;4,754545455;4,58;6,919772727;3,147792208;3,265227273;2,113766234;1,841428571;1,011931818;1,849818182;3,572727273;1,694545455;2,658571429;6,448181818;3,416363636;3,990909091;19,84909091;2,547727273;6,439375;6,202272727;2,85;2,224204545;12,09613636;6,96;3,94;3,246818182;3,9625;2,948441558;21,805;8,532987013;7,232727273;5,209431818;1,973441558;9,150681818;3,761428571;1,95025974;1,075454545;2,115681818;0,798210227;4,054090909;4,559090909;3,969545455;14,08806818;3,66;2,39;1,443818182;10,01018182;5,890454545;2,921818182;2,517272727;3,276363636;1,359772727;5,731818182;4,507272727;11,69792208;14,77909091;10,66545455;8,927878788;3,242857143;6,98;3,469772727;3,43;2,186363636;2,292467532;1,784363636;3,973636364;4,420454545;4,927840909;5,305;5,688409091;4,563116883;
12/2009;117,6650299;125,6023764;112,3922266;;;10,94363636;4,094545455;3,025454545;5,877954545;3,654545455;5,482727273;2,088295455;1,855454545;1,069545455;1,813636364;3,575;1,629090909;2,707272727;6,505454545;3,461818182;3,909090909;18,22636364;2,518181818;5,488352273;6,145;2,875064935;2,106883117;12,05181818;7,627272727;3,804285714;3,450606061;3,844545455;3,130909091;21,36954545;8,517090909;7,863636364;4,988727273;2,135909091;7,906363636;3,934363636;2,145340909;1,139480519;1,99375;0,482301136;4,570649351;4,842045455;4,155974026;14,48311688;9,32;2,427272727;1,976666667;10,32136364;6,03;3,202;2,784545455;3,502727273;1,285454545;5,35;4,391363636;11,80636364;14,84181818;10,76103896;7,99;3,209090909;7,052727273;3,413636364;4,2975;2,032727273;2,468727273;1,854772727;4,373636364;4,49;5,072613636;5,618295455;6,758727273;4,455818182;
01/2010;119,5133951;129,1852743;112,6384504;200,9670714;100;12,32363636;4,678181818;3,634545455;6,052597403;3,608181818;2,676161616;2,205151515;1,961428571;1,053333333;1,945454545;3,631818182;1,968;2,553376623;6,555757576;3,805;4,117777778;20,82545455;2,647979798;5,389949495;6,244848485;2,898484848;2,151616162;13,75;9,878181818;3,668571429;3,518181818;4,08989899;2,929393939;20,84565657;8,180454545;7,533636364;5,122727273;1,835454545;7,971136364;4,366767677;1,8225;1,162954545;2,15989899;0,476767677;4,489090909;4,703181818;4,029545455;14,90252525;9,32;2,555;1,497272727;10,29857143;6,03;3,075151515;2,29;3,646590909;1,304772727;5,801515152;4,631818182;11,73454545;14,84181818;10,55272727;7,99;3,302077922;7,125454545;3,217727273;3,942727273;2,098181818;2,457045455;1,88025974;4,493030303;4,448;5,077474747;5,577878788;6,010909091;4,664805195;
02/2010;123,1109911;132,9435383;115,6350174;222,0491331;110,4903065;12,51606061;4,408484848;3,489090909;7,272077922;3,95010101;5,361818182;2,240227273;1,862727273;1,025959596;1,990909091;3,652020202;1,814090909;2,600454545;6,426753247;3,824444444;4,151717172;22,89272727;2,808181818;5,773282828;5,38;2,874242424;2,379393939;14,08909091;9,878181818;3,532857143;3,66969697;3,689090909;2,923766234;21,99954545;7,932222222;7,09;4,905844156;2,056883117;8,255454545;3,972727273;2,231212121;1,27;2,644090909;0,482424242;4,507272727;4,641818182;4,012121212;14,41753247;7,446666667;2,608181818;1,49;10,43454545;6,270909091;3,212525253;2,786969697;3,735454545;1,364025974;5,720454545;4,565151515;12,24363636;15,01454545;10,54909091;7,99;4,232467532;7,198181818;3,21025974;4,483636364;2,18;2,538484848;1,794545455;4,624343434;5,176363636;5,426590909;5,635454545;5,91;4,395454545;
03/2010;126,3998925;137,7104131;116,6476019;227,0752595;112,9912766;12,2238961;4,723272727;4,359090909;7,436931818;3,923636364;5,498409091;2,506363636;1,789090909;1,032727273;2,090909091;3,659090909;1,663863636;2,706623377;6,360363636;3,865090909;4,145227273;27,33818182;2,795454545;6,604034091;6,410909091;2,874545455;2,185454545;15,22909091;7,713333333;3,397142857;3,19;4,015636364;3,402954545;21,53163636;8,623636364;8,026363636;5,276727273;2,015653409;8,526;4,72;2,293295455;1,148977273;2,548267045;0,604318182;4,650649351;5,026136364;3,940909091;13,66727273;5,573333333;2,190909091;1,441515152;10,49945455;6,489090909;3,122727273;2,151818182;3,831818182;1,415568182;5,697727273;4,608727273;12,44352273;15,66;9,003636364;9,195;3,511363636;7,270909091;3,938585859;4,413636364;2,08;2,572045455;1,890909091;4,225;4,739090909;5,075454545;5,439318182;7,955454545;4,930519481;
04/2010;131,2560947;146,1184909;115,5767202;249,4473485;124,1234928;12,58818182;5,470909091;4,687272727;9,144545455;4,134181818;7,939636364;2,504727273;2,031818182;0,973181818;2,615454545;3,756363636;1,817272727;2,61;6,816363636;4,066363636;4,214545455;27,26181818;2,868181818;7,219090909;6,867272727;3,48;2,337727273;15,03272727;8,739090909;3,261428571;3,315151515;4,543636364;3,562727273;22,96;6,642727273;8,360454545;5,52;2,009772727;10,16863636;4,717454545;2,422727273;1,259090909;2,139318182;0,714545455;4,905454545;5,18;3,998181818;15,99318182;3,7;2,685454545;1,29;10,55181818;6,347272727;3,282545455;2,34;3,782727273;1,386363636;5,873636364;4,607272727;12,17454545;14,96909091;9,805454545;9,2275;3,646363636;7,343636364;3,434363636;4,524545455;2,187272727;2,675272727;1,801363636;4,561090909;4,940909091;5,453636364;5,767818182;5,929090909;4,993636364;
05/2010;125,1809272;137,0032445;114,6434337;227,0654102;112,9863756;12,02987013;5,180454545;5,015454545;7,085454545;4,114545455;6,149090909;2,510454545;1,721818182;0,96030303;1,928909091;3,561688312;1,926363636;2,608909091;6,535454545;3,808051948;4,19;26,71090909;2,784318182;6,982386364;6,547272727;2,828181818;2,366623377;12,50618182;8,263636364;3,125714286;3,44030303;3,981818182;3,288831169;21,34831169;7,810681818;7,760454545;5,282454545;1,788019481;10,06943182;5,421818182;2,285064935;1,207272727;2,097784091;0,933538961;4,122727273;4,98987013;4,123977273;14,02662338;3,7;2,384545455;1,29;10,38818182;5,805454545;3,287045455;2,36;3,751168831;1,468701299;5,915097403;4,550909091;12,312;15,03818182;9,003636364;9,26;3,395454545;7,416363636;3,269090909;3,91;2,193333333;2,761136364;1,85038961;4,493636364;4,720454545;4,960909091;5,246753247;8,247272727;4,774675325;
06/2010;121,6432845;132,4317533;114,304511;215,8197489;107,3906025;12,03272727;5,089090909;5,343636364;6,93;3,650909091;4,416363636;2,689090909;1,85;1,0725;2,039090909;3,559090909;1,820454545;2,601136364;6,562337662;3,902727273;4,205454545;23,57454545;2,836363636;6,975909091;6,800909091;2,93;2,29038961;10,69090909;7,02;2,99;3,565454545;4,213766234;3,348441558;21,89844156;8,034318182;8,326363636;4,926363636;1,701022727;9,722727273;3,883181818;2,494204545;1,115227273;2,445909091;0,63;4,238181818;4,847272727;4,177012987;15,18522727;3,9;2,285090909;1,29;10,05272727;6,027272727;3,236136364;2,423333333;3,642045455;1,388636364;5,956558442;4,382272727;12,28581818;15,34909091;9,192727273;9,2925;3,245454545;7,489090909;3,297386364;4,362727273;2,226136364;2,526363636;1,713896104;4,276363636;5,256363636;4,912727273;5,242954545;6,252272727;4,3875;
07/2010;121,1851342;132,0355293;113,8644345;200,4052121;99,7204222;11,66090909;5,271272727;7,034545455;3,831818182;3,708181818;1,809090909;2,713636364;1,791818182;1,077954545;2,014090909;3,598295455;2,211818182;2,670454545;6,652727273;3,897045455;4,319090909;23,33454545;2,775113636;6,909220779;7,060909091;2,816363636;2,38;11,73818182;5,32;4,19;3,690606061;4,387272727;3,488831169;22,26545455;7,973090909;8,356590909;5,215681818;1,727818182;10,36840909;4,38875;2,235454545;1,18025974;3,141931818;0,635227273;4,515324675;4,814545455;4,502727273;14,79659091;3,34;2,236363636;1,453333333;10,74545455;5,803272727;3,326818182;2,29;3,78974026;1,442987013;5,998019481;4,321818182;11,84818182;14,99272727;9,276363636;8,908333333;3,361558442;7,561818182;3,28;4,413030303;2,1975;2,723636364;1,747575758;4,465681818;4,295454545;4,794204545;5,363636364;6,013636364;4,563409091;
08/2010;122,8229017;132,8052471;113,9070971;216,2626656;107,6109952;11,78977273;5,5;5,825454545;3,831818182;4,174090909;2,835909091;2,490519481;1,932597403;1,031477273;2,165;3,742045455;1,95;2,778545455;6,861818182;3,861298701;4,176363636;23,29090909;2,763863636;6,97;3,705;2,971818182;2,569886364;12,52977273;6,716363636;3,94;3,815757576;4,530454545;3,502987013;24,25054545;7,784090909;7,472121212;4,9975;1,995909091;10,27397727;5,152045455;2,302545455;1,16;3,076818182;0,436761364;3,525454545;5,551818182;4,376181818;14,97922078;3,553333333;2,543636364;1,544545455;10,39909091;5,634805195;3,486;2,79;3,530909091;1,445454545;6,039480519;4,409772727;11,38690909;15,5;10,47272727;8,524166667;3,395757576;7,634545455;5,095194805;3,655454545;2,164363636;2,500779221;1,988441558;4,340909091;4,974;4,956363636;5,311428571;6,415909091;4,59;
09/2010;126,8275966;138,9887149;116,6027432;221,1695976;110,0526549;12,31954545;5,700454545;6,98;2,616;3,944675325;2,03;2,655227273;2,040363636;1,209772727;2,113636364;3,619318182;1,877272727;3,010727273;7,474545455;4,069545455;4,447272727;25,8;2,831363636;7,896136364;6,84;2,951363636;2,327613636;11,73272727;6,62;4,07125;3,940909091;4,399393939;3,585113636;26,42337662;7,662272727;8,099545455;4,826363636;1,781493506;11,61784091;4,721818182;2,223376623;1,287662338;3,18487013;0,308579545;4,198181818;4,950454545;4,527662338;15,4030303;3,766666667;2,319220779;1,494545455;10,73727273;5,56;3,281818182;3,19;3,553636364;1,501688312;6,080941558;4,252181818;11,88;16,01272727;10,84;8,14;3,22;7,707272727;3,879480519;4,347575758;2,264415584;2,39;1,852272727;4,275454545;4,851038961;4,763181818;5,037727273;7,505454545;4,671818182;
10/2010;129,1827883;141,9545191;112,2913567;227,7907673;113,3473089;12,03852273;5,982727273;9,58;4,133636364;3,921818182;2,647272727;2,618571429;2,16987013;1,316363636;2,349220779;3,513636364;1,943333333;3,056818182;7,245454545;4,316363636;4,653246753;24,48;2,99;8,298636364;4,452;2,964;2,274545455;12,03409091;8,4;4,2025;3,655;4,627272727;3,55987013;26,33772727;7,478636364;7,727272727;5,755;2,060681818;12,18545455;4,833522727;2,393181818;1,239090909;3,120227273;0,281818182;4,283030303;5,135064935;4,587272727;14,82159091;3,98;2,358961039;1,459090909;10,30636364;5,854545455;3,337792208;2,29;3,641363636;1,586136364;6,122402597;4,79;10,98454545;14,96121212;11,0638961;8,45;3,491363636;7,78;4,043636364;4,075;2,199545455;2,403636364;1,848522727;4,598181818;5,226818182;5,331136364;5,475454545;8,901818182;4,821136364;
11/2010;134,0757255;148,7052255;116,2837117;242,3410887;120,5874609;10,90757576;6,451515152;8,98;4,215454545;3,98;2,366363636;2,788181818;2,277954545;1,340454545;2,394545455;3,433333333;2,19;3,073376623;7,283896104;4,236818182;4,740909091;28,74;2,944772727;8,146767677;4,597575758;2,790909091;2,292222222;14,01954545;7,956;4,33375;3,95;4,423636364;3,579545455;30,14727273;8,073636364;7,254848485;5,769350649;1,975;12,46515152;4,802987013;2,331818182;1,214935065;3,046915584;0,249204545;4,302424242;5,034285714;4,783636364;15,23766234;4,18;2,311515152;1,480909091;10,59727273;5,847878788;3,197727273;2,867878788;3,623636364;1,574285714;6,163863636;4,838181818;11,62444444;15,63393939;11,14727273;9,645;3,94969697;7,852727273;4,379545455;4,49;2,251111111;2,460454545;1,743896104;4,99;5,154242424;5,511818182;5,5425;6,53;4,583333333;
12/2010;133,9620662;148,5451464;117,9907394;241,416313;120,1272981;11,34727273;5,260363636;7,64;3,319090909;4,193818182;4,625454545;2,454675325;2,247532468;1,365064935;2,079090909;3,737662338;1,829393939;2,989393939;7,436363636;4,316363636;4,630727273;25,99636364;2,974545455;8,317792208;5,858181818;2,747272727;2,18012987;14,09727273;7,512;4,465;3,84;4,553246753;3,412597403;28,66;9,001818182;7,982727273;6,081727273;2,173798701;13,69363636;5,896753247;2,410909091;1,23;2,480045455;0,245454545;3,587792208;4,830909091;5,079090909;16,09545455;3,92;2,270909091;1,435454545;11,37;6,349818182;3,342909091;2,758181818;3,39;1,717662338;6,205324675;4,868545455;11,85818182;15,02787879;12,01636364;8,19;3,594181818;7,925454545;4,056883117;3,803636364;2,181454545;2,417532468;1,625909091;4,788181818;4,62012987;4,878363636;5,605454545;8,867727273;4,802727273;4,174286477
01/2011;131,9048227;144,1078342;118,3578219;228,8035745;113,8512757;11,32545455;5,120909091;5,652727273;2,873181818;4,198181818;4,238181818;2,527272727;2,42;1,507727273;2,137272727;3,915909091;2,223333333;2,977272727;7,368181818;4,290181818;4,634545455;26,03454545;2,943454545;7,541818182;5,359090909;2,854545455;2,439545455;13,77381818;7,068;4,59625;3,991111111;4,338181818;3,709090909;25,35381818;8,834545455;8,409545455;6,312909091;2,080113636;13,16072727;5,140363636;2,121818182;1,220454545;2,600181818;0,230454545;4,267636364;4,752363636;5,119090909;15,45227273;4,027272727;2,329818182;1,39;11,20636364;6,287272727;3,271818182;2,335454545;3,344545455;1,541363636;6,246785714;4,924242424;12,29727273;15,66363636;12,03563636;8,856666667;3,637272727;7,998181818;3,560909091;3,59;2,090909091;2,439090909;1,839090909;4,656666667;5,005272727;6,786818182;5,598636364;7,900909091;4,918636364;4,265031836
