DATA;Inflação - IPC-FESO - (número índice);Inflação - IPC/alimentos-FESO - (número índice);Inflação - IPC/bebidas-FESO - (número índice);Inflação - IPC/CB-FESO - (R$);Inflação - IPC/CB-FESO - (número índice);Arroz Branco Tipo 1 - 5 KG (R$);Feijão Preto - 1 KG (R$);Feijão Carioquinha - 1 KG (R$);Batata lavada - KG (R$);Banana Prata - KG (R$);Tomate - KG (R$);Farinha de Mandioca - 1 KG (R$);Farinha de Trigo - 1 KG (R$);Fubá - 1 KG (R$);Massa Padre Nosso - 500 GR (R$);Macarrão Instântaneo - UNIDADE (R$);Espagueti - 500 GR (R$);Pão de Forma - PACOTE (R$);Pão Bisnaga - PACOTE (R$);Biscoito Salgado - PACOTE (R$);Biscoito Recheado - PACOTE (R$);Leite - UNIDADE (R$);Leite Condensado - LATA (R$);Queijo Mussarela - KG (R$);Queijo Ralado - PCT 100 GR (R$);Manteiga - 200 GR (R$);Iogurte - BANDEJA (R$);Açúcar Refinado - 1 KG (R$);Açúcar Cristal - 1 KG (R$);Pêssego em Calda - 450 GRAMAS (R$);Goiabada - pote (R$);Geléia de Mocotó - CX (R$);Achocolatado - 400 GR (R$);Chã de Dentro - KG (R$);Lingüiça Calabresa - KG (R$);Lingüiça Mista - KG (R$);Presunto - KG (R$);Mortadela - KG (R$);Frango Inteiro - KG (R$);Peito de Frango - KG (R$);Ovos Grandes Brancos - DÚZIA (R$);Sal - 1 KG (R$);Alho - KG (R$);Cebola - KG (R$);Caldo de Galinha - 126 gr. (R$);Maionese - vidro 250 GR (R$);Extrato de Tomate - lata 340 gr (R$);Pura Polpa - CAIXA 520 gr (R$);Molho Shoyu - VIDRO PEQ. (150 ml) (R$);Milho Verde - LATA (R$);Salsicha - LATA (R$);Refrigerante de Cola - 2 LITROS (R$);Refrigerante de Guaraná - 2 LITROS (R$);Refrigerante de Laranja - 2 LITROS (R$);Suco de Caju - 500 ML (R$);Xarope de Guaraná - 1 LITRO (R$);Chá Mate - CX 100G (R$);Café - 500 GR (R$);Café - 500 GR (R$);Cerveja Clara - CAIXA C/12 (R$);Vinho Tinto - 750 ML (R$);Óleo de Soja - PET 900 ml (R$);Azeite - LATA (R$);Margarina Vegetal - 250 GR (R$);Sabão Tablete - PCT. C/ 5 UNID. (R$);Sabão em Pó - CX 500G (R$);Amaciante de Roupa - 2 LITROS (R$);Detergente Líquido (Neutro) - UNIDADE (R$);Desinfetante Multi Uso -  500 ML (R$);Esponja de Aço - PACOTE (R$);Shampoo - 350 ML (R$);Condicionador - VD (GRANDE) (R$);Sabonete - UNIDADE (R$);Desodorante - Roll On 50 g (R$);Papel Higiênico - PCT. C/ 4 UNID. (R$);Creme Dental - 90 GR (R$);Pão Francês - 1 Kg (R$)
11/2007;106,8495939;111,2848681;95,47453346;;;9,77;4,75;9,726666667;6,2625;3,0675;2,4725;1,851428571;2,054285714;1,20125;1,58;3,3125;2,235;2,37;5,66;2,8575;3,3875;20,24;2,84;6,40875;6,656;2,634;2,748333333;6,848571429;4,96;3,628115942;4,247142857;3,22687747;3,19;19,0125;6,508571429;5,13;5,0925;1,904642857;8,7675;4,15;2,13875;0,838571429;1,42125;0,350625;3,714285714;3,750299266;4,17;8,64;7,533333333;2,29;2,95;9,37875;5,054285714;2,887142857;2,27;2,699;1,088571429;5,452;4,596;8,28;12,282;9,96;10,52166667;2,854285714;7,91;3,414;4,023333333;1,973333333;2,30375;1,885714286;4,211428571;4,0425;4,55;5,19;5,4075;5,387142857;
12/2007;109,6345867;114,9146936;94,95871505;;;9,59625;6,215;12,15333333;5,13;3,5925;2,39;1,668571429;1,9875;1,3775;1,58;3,3375;1,69;2,42;5,924;2,91;3,3875;17,88;2,55625;5,88625;7,056;2,278333333;2,872857143;6,651428571;4,5;3,629130435;4,166190476;3,270237154;3,08375;19,95;6,8175;7,126666667;5,851;1,730357143;9,6375;5,09375;2,6075;0,785;1,395;0,370625;3,8;3,831586674;7,17;8,68;5,81;2,34;2,95;9,15;4,882857143;2,83625;1,861666667;2,628333333;1,07125;5,29;4,688571429;10,08;11,20714286;13,05333333;9,6475;2,93;8,013333333;3,49;3,8025;1,912;2,375;1,85125;4,48625;4,095;4,34;5,8625;5,415;5,35125;
01/2008;112,8553039;119,4952714;98,75067478;;;9,51;6,195555556;14,58;4,516666667;4,275;3,684444444;1,945714286;2,035555556;1,378888889;1,58;3,43125;1,535;2,321666667;5,555;2,8825;3,36;17,93142857;2,758888889;5,803333333;7,01;2,328;2,914285714;6,831428571;4,39;3,630144928;4,085238095;3,313596838;3,024444444;19,15777778;6,47375;6,485;5,549285714;1,829166667;9,953333333;4,484444444;2,268888889;0,79;1,416666667;0,515833333;4,41;3,912874082;7;8,72;4,086666667;2,38;3,158;9,283333333;5,215555556;2,842222222;1,83;2,628;1,087142857;5,422857143;4,502857143;10,08;12,94833333;12,05333333;10,56285714;2,953333333;7,86;3,27625;3,915;1,93;2,388888889;1,8475;4,388888889;3,976;4,55875;6,535;5,36;5,363333333;
02/2008;113,7294548;119,272463;97,01230434;;;9,8575;7,622222222;15,38;3,246666667;4,575;2,095555556;2,073333333;2,126666667;1,256666667;1,661;3,383333333;1,795;2,34;5,8525;2,922222222;3,364444444;19,36;2,607777778;5,838333333;7,246666667;2,36;2,898571429;6,822857143;3,04;3,63115942;4,004285714;3,356956522;3,141111111;17,43111111;6,855;6,7825;5,64625;1,938611111;8,476666667;3,71125;3,143333333;0,79;1,4475;0,508055556;4,442222222;3,994161491;6,83;8,76;4,953333333;2,313333333;3,366;9,466666667;5,168571429;2,54625;1,947142857;2,428;1,07125;5,422857143;4,548571429;9,73;12,528;12,75333333;10,29833333;3,013333333;8,9;3,37;4,2875;2,126666667;2,35;1,754444444;4,64375;4,011428571;4,7775;7,2075;6,995;5,123333333;
03/2008;116,6668814;121,2403478;98,73189555;;;9,751111111;7,546666667;14,38;4,793333333;4,8025;5,328888889;2,005555556;2,096666667;1,257777778;1,742;3,516666667;1,6575;2,345;5,92;3,226666667;3,56;19,56;2,538888889;5,94;7,14;2,612;2,788888889;6,615;4,068;3,632173913;3,923333333;3,400316206;3,15125;18,14888889;6,893333333;5,98;5,414166667;1,8609375;8,196666667;3,537142857;3,046666667;0,762857143;1,307777778;0,549722222;4,575;4,075448899;6,66;8,8;4,153333333;2,26;3,574;8,993333333;4,975;2,838888889;1,925555556;2,853333333;1,07;5,358333333;4,518571429;10,68;12,61666667;13,784;10,36;3,188571429;10,4;3,265;4,375;2,0425;2,272222222;1,828888889;4,43375;4,0475;4,99625;7,88;6,575;4,72875;
04/2008;114,9606989;118,9003528;101,3488128;;;9,84;7,026666667;13,28;3,78;4,0475;3,962222222;1,92625;2,2;1,185555556;1,823;3,361111111;1,795;2,465;6,265714286;3,191111111;3,573333333;20,616;2,47;5,908888889;7,353333333;2,538333333;2,933333333;6,64;4,283333333;3,633188406;3,842380952;3,443675889;3,21;18,6975;6,714444444;5,99;5,416875;1,8940625;7,846666667;3,546666667;2,381111111;0,80625;1,094166667;0,587777778;4,345;4,156736307;6,89;8,666666667;3,88;2,468571429;3,782;9,59625;4,975;2,814285714;1,82875;2,78875;1,431666667;5,408333333;4,391428571;10,08;13,995;13,952;10,36;3,1025;7,36;3,177142857;4,528571429;2,06;2,25625;1,7375;4,598888889;4,076666667;4,6725;7,483125;6,565;5,383333333;
05/2008;124,0053817;130,3810546;101,950443;;;12,55571429;7,646666667;8,55;4,734;3,622857143;5,58;2,06375;2,51;1,1;1,904;3,6625;1,93;2,461666667;6,23;3,1925;3,5475;21,76;2,48;6,406875;5,59;2,667142857;2,914285714;7,08;4,67;3,634202899;3,761428571;3,487035573;3,3025;18,38;7,38625;7,29;5,9;1,963214286;9,6225;3,68;2,74125;0,797142857;1,085;0,580625;4,156;4,238023715;7,12;9,075;14,98;2,324;3,99;9,58875;5,1775;2,83625;1,87375;2,81875;1,323333333;5,408333333;4,425;11,36;12,838;16,14666667;9,948333333;3,097142857;8,926666667;3,2475;4,756666667;2,054285714;2,4325;1,76;4,995714286;3,98;6,22;7,08625;7,101428571;5,55;
06/2008;125,176768;129,9441774;104,1835508;;;12,3125;8,22;9,28;4,58;3,272;5,624;1,72;2,63375;1,134;1,985;3,9;2,266666667;2,53;6,22;3,23;3,7125;20,92;2,45;6,444;5,76;2,7525;2,94;7,44;5,38;3,635217391;3,68047619;3,530395257;3,319;20,15;7,72;7,226666667;5,72;1,904375;9,621;3,53625;2,503;0,85375;1,0425;0,5445;4,265;4,319311124;7,35;9,35;9,44;2,406666667;3,8175;9,61125;5,258;2,874;2,4725;2,99375;1,32;5,471666667;4,636666667;11,43333333;12,84125;16,27;10,77833333;3,41;9,825;3,964;4,29;2,085;2,407;1,813;5,025;3,671666667;6,076;6,689375;8,1;5,295;
07/2008;122,8730155;129,4827421;102,1697306;;;12,54;8,6;10,88;4,78;2,883333333;6,163333333;1,55;2,653333333;1,196666667;2,066;3,916666667;1,855;2,67;6,686666667;3,256666667;3,843333333;21;2,39;6,913333333;6,506666667;2,734;2,932;6,9;4,88;3,636231884;3,59952381;3,573754941;3,171666667;20,7;8,213333333;7,163333333;5,94;1,971;9,62;4,06;2,553333333;0,865;1,002083333;0,436666667;4,6;4,400598532;7,136666667;8,883333333;3,726666667;2,455;3,645;9,33;4,976666667;3,041666667;2,154;2,916666667;1,325;5,456;4,592;11,62666667;12,355;11,8;10,9575;3,53;11,84;3,476666667;4,39;2,248;2,498333333;1,828333333;4,903333333;3,8425;5,355;6,2925;6,57;5,36;
08/2008;117,8246319;121,1302005;102,3245961;;;12,57;7,9;7,18;4,54;3,16;2,02;2,014285714;2,39;1,158571429;2,147;3,75;2,438;2,514;6,403333333;3,371428571;3,774285714;18,87;2,35;6,479166667;5,255;2,303333333;2,521666667;7,18;3,34;3,637246377;3,518571429;3,617114625;3,068571429;21,38285714;8,065714286;7,1;5,572142857;1,963333333;10,08;4,63;2,751428571;0,876666667;1,074642857;0,702142857;4,166666667;4,48188594;6,923333333;8,416666667;2,7;2,63;3,4725;9,738;4,936;2,612857143;2,251666667;2,84;1,334285714;5,428333333;4,511428571;11,592;12,61666667;12,704;7,87;3,596666667;11,565;3,8;4,4025;2,22;2,545714286;1,69;4,694285714;4,708333333;5,436666667;5,895625;7,026;5,412857143;
